,Is_Highlight,Gallery_Number,Title,Department,Culture,Artist_Display_Name,Medium
406482,TRUE,706,Crown Milano Covered Ewer,The American Wing,American,Mount Washington Glass Company,"Glass, blown, painted, jeweled, and gilded"
408826,TRUE,751,Figure of a Lion,The American Wing,American,John Bell,Earthenware
409361,TRUE,706,Brooch,The American Wing,American,Marcus and Co.,"Plique-à-jour enamel, conch pearl, diamond, platinum and eighteen karat gold"
411895,TRUE,772,Gray and Brass,The American Wing,American,John Sloan,Oil on canvas
412038,TRUE,753,"Study For Liberty Displaying the Arts and Sciences, or The Genius of America Encouraging the Emancipation of the Blacks",The American Wing,American,Samuel Jennings,Oil on canvas
415022,TRUE,713,Center table,The American Wing,American,Gustave Herter,"Rosewood, rosewood veneer, maple, burled wood, ash (secondary wood), brass, and scagliola"
415036,TRUE,769,Moonlight,The American Wing,American,Edith Mitchill Prellwitz,Oil on panel
418615,TRUE,746,Polacca polychrome water jar,The American Wing,"Hopi-Tewa, Native American",Nampeyo,Clay and pigment
419881,TRUE,749,The Marriage of the Virgin,The American Wing,Mexican,José Sánchez,Oil on canvas
422422,TRUE,774,Dish (Charola),The American Wing,Mexican (Guanajuato),Unknown,"Earthenware, slip-covered, incised and polychrome decorated under a transparent glaze"
423733,TRUE,773,Della Robbia vase with trees,The American Wing,American,Roseville Pottery|Frederick Hurten Rhead,Earthenware
427364,TRUE,743,Plaque with mussel and oyster shells and seaweed,The American Wing,American,Alice Gouvy|Tiffany Studios|Tiffany Glass and Decorating Company,Enamel on copper
429311,TRUE,746,Black-on-Black Jar,The American Wing,"San Ildefonso, Native American",Maria Martínez|Julián Martínez,Clay and slip
434268,TRUE,706,Brooch,The American Wing,American,Paulding Farnham|Tiffany & Co.,"Gold, diamonds, and enamel"
436033,TRUE,762,Storage jar,The American Wing,American,David Drake|Stony Bluff Manufactory,Alkaline-glazed stoneware
436159,TRUE,749,The Virgin of Carmen and the Souls of Purgatory with St. Joseph and the Prophet Elijah,The American Wing,Mexican,Juan Francisco de Aguilera,"Oil and gold on copper; Frame: ebony, tortoise shell, and silver"
438675,TRUE,746,Raven rattle,The American Wing,"Haida, Native American",Albert Edward Edenshaw,"Wood, pigment, glass beads and vegetal fiber"
438863,TRUE,765,A Reconnaissance,The American Wing,American,Frederic Remington,Oil on canvas
443229,TRUE,706,Face Harvest Jug,The American Wing,American,Unidentified Edgefield District potter|unknown Edgefield District Pottery,Alkaline glazed stoneware with kaolin inserts
444239,TRUE,757,Saint Christopher,The American Wing,Bolivia,Melchor Pérez Holguin,Oil on canvas
444241,TRUE,757,Our Lady of Valvanera,The American Wing,Peru (Cuzco),Unknown,Oil and gold on canvas
444245,TRUE,757,"Christ Carrying the Cross, called ""The Lord of the Fall""",The American Wing,Peru (Cuzco),Unknown,Oil and gold on canvas
445132,TRUE,758,Young Wife: First Stew,The American Wing,American,Lilly Martin Spencer,Oil on canvas
447042,TRUE,758,The Wood Sawyer,The American Wing,American,Charles E. Weir,Oil on board
447624,TRUE,749,Chalice,The American Wing,Mexican,Antón Dantés,"Silver, gilt, repoussé, chased, cast, and lathed, with burnished punchwork"
447626,TRUE,757,Missale Romanum (Roman Missal),The American Wing,Peruvian,Unknown,"Silver over wood, repoussé and chased, with burnished punchwork; cast clasps"
447998,TRUE,754,"Father, Mother, and Child in a Park",The American Wing,American,John Christian Rauschner,"colored wax, paint, glass"
453288,TRUE,704,Teapot,The American Wing,American,John Bartlam,Soft-paste porcelain with underglaze blue decoration
461991,TRUE,756,"Hayne Hudjihini, Eagle of Delight",The American Wing,American,Henry Inman,Oil on canvas
462000,TRUE,756,Pes-Ke-Le-Cha-Co,The American Wing,American,Henry Inman,Oil on canvas
462721,TRUE,749,Calvary,The American Wing,Guatemalan,Unknown,"Polychrome wood, gilt silver, glass, hair"
465211,TRUE,717,Eight-Day Tall Case Clock with Musical Movement,The American Wing,American,Eliphalet Chapin|Daniel Burnap|Simeon Loomis,"Cherry, pine, brass, glass"
465558,TRUE,743,Sketchbook,The American Wing,American,Louis Comfort Tiffany,"Graphite, pastel, watercolor, and crayon on paper"
465598,TRUE,706,Vase,The American Wing,American,Tiffany & Co.,"Silver, copper, gold, and silver-copper-zinc alloy"
466218,TRUE,768,Helena de Kay Gilder,The American Wing,American,Cecilia Beaux,Oil on canvas
466457,TRUE,751,Carved chest,The American Wing,American,Robert Laurent,"Black walnut, tulip poplar, plywood, and brass"
467094,TRUE,746,Serape,The American Wing,"Diné/Navajo, Native American",Unidentified,Dyed and undyed wool
467099,TRUE,746,Chief's blanket,The American Wing,"Diné/Navajo, Native American",Unidentified,Dyed and undyed wool
