,Is_Highlight,Gallery_Number,Title,Department,Culture,Artist_Display_Name,Medium
12239,TRUE,762,A Bit of War History: The Recruit,The American Wing,American,Thomas Waterman Wood,Oil on canvas
12321,TRUE,774,Armchair,The American Wing,American,A. H. Davenport|Francis H. Bacon,"Mahogany, tooled and painted leather"
12593,TRUE,774,Lilacs in a Window (Vase de Lilas a la Fenetre),The American Wing,American,Mary Cassatt,Oil on canvas
13041,TRUE,704,Candlestick,The American Wing,American,Adrian Bancker,Silver
13042,TRUE,704,Candlestick,The American Wing,American,Adrian Bancker,Silver
13112,TRUE,743,Library Table,The American Wing,American,William Lightfoot Price|Rose Valley Shops,"White oak, stained"
13158,TRUE,743,Linen Press,The American Wing,American,Byrdcliffe Arts and Crafts Colony,"Oak, tulip poplar, brass"
13201,TRUE,743,Screen,The American Wing,American,Lockwood de Forest|Ahmedabad Wood Carving Company,"Teak, plaited matting, mixed metals"
13288,TRUE,763,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room,The American Wing,American,Seymour Joseph Guy,Oil on canvas
13304,TRUE,774,Settee,The American Wing,American,George Jakob Hunzinger,"Ebonized cherry, fabric-covered steel mesh"
13310,TRUE,705,Pitcher,The American Wing,American,American Pottery Manufacturing Company,Earthenware
13742,TRUE,769,"Celia Thaxter's Garden, Isles of Shoals, Maine",The American Wing,American,Childe Hassam,Oil on canvas
13743,TRUE,768,A Rose,The American Wing,American,Thomas Anshutz,Oil on canvas
13783,TRUE,704,Decanter,The American Wing,American,"Bakewell, Page & Bakewell",Blown and cut glass; clay cameo
13796,TRUE,713,Side Chair,The American Wing,American,Alexander Jackson Davis|Burns and Brother,Black walnut; replacement underupholstery and showcover
14192,TRUE,728,Card table,The American Wing,American,Charles-Honoré Lannuier,"Mahogany veneer, white pine, yellow poplar, gilded gesso, vert antique, and gilded brass"
14196,TRUE,980,"Quilt, Tumbling Blocks with Signatures pattern",The American Wing,American,Adeline Harris Sears,Silk
14871,TRUE,771,Mrs. Hugh Hammersley,The American Wing,American,John Singer Sargent,Oil on canvas
15191,TRUE,755,George Washington,The American Wing,American,Gilbert Stuart,Oil on canvas
15276,TRUE,706,Cameo,The American Wing,American,George W. Jamison|William Rose,"Helmet-conch shell, gold, and enamel"
15284,TRUE,756,Michael Angelo and Emma Clara Peale,The American Wing,American,Rembrandt Peale,Oil on canvas
15351,TRUE,743,Four Seasons,The American Wing,American,Louis Comfort Tiffany|Tiffany Glass and Decorating Company|Agnes F. Northrop,"Watercolor, gouache, graphite, and red earth chalk pencil on on white wove paper formerly overmatted with original warm grey window matt"
15394,TRUE,706,Brooch,The American Wing,American,Tiffany & Co.,"Gold, pearls, black enamel, and hair"
15489,TRUE,766,Flight Into Egypt,The American Wing,American,Henry Ossawa Tanner,Oil on canvas
15493,TRUE,750,Wine cup,The American Wing,American,John Hull|Robert Sanderson Sr.,Silver
15612,TRUE,748,Eagle,The American Wing,American,William Rush,"Carved wood (probably Eastern white pine), gessoed and gilded, and cast iron, painted"
16090,TRUE,759,Landscape with Cows Watering in a Stream,The American Wing,American,Robert S. Duncanson,Oil on canvas
16109,TRUE,751,Lake George and the Village of Caldwell,The American Wing,American,Thomas Chambers,Oil on canvas
16221,TRUE,744,Box,The American Wing,American,Marie Zimmermann,"Wood, ivory, patinated silver, nickel-plated brass, steel, amethyst, and semi-precious quartz"
16227,TRUE,706,Vase,The American Wing,American,Ott and Brewer,Porcelain
16270,TRUE,700,Reaching Jaguar,The American Wing,American,Anna Hyatt Huntington,Bronze
16325,TRUE,772,"Central Park, Winter",The American Wing,American,William James Glackens,Oil on canvas
16366,TRUE,772,Dutch Girl in White,The American Wing,American,Robert Henri,Oil on canvas
16407,TRUE,751,"The Monongahela River Valley, Pennsylvania",The American Wing,American,John Kane,Oil on canvas
16442,TRUE,706,Necklace,The American Wing,American,Frank Gardner Hale,"18kt yellow gold, silver, peridots, amethysts, tourmalines, sapphires, and pearls."
16481,TRUE,726,Pier Table,The American Wing,American,Charles-Honoré Lannuier,"Mahogany, mahogany veneer, pine, tulip poplar, maple, marble, gilded brass, die-stamped brass, plate glass"
16625,TRUE,707,Vase,The American Wing,American,Maija Grotell,Stoneware
16772,TRUE,763,Story of Golden Locks,The American Wing,American,Seymour Joseph Guy,Oil on canvas
16778,TRUE,707,Teapot,The American Wing,American,George E. Ohr,Earthenware
16968,TRUE,765,End of the Trail,The American Wing,American,James Earle Fraser,Bronze
16993,TRUE,742,Side chair,The American Wing,American,George A. Schastey & Co.|George A. Schastey,"Satinwood, purpleheart, brass castors, reproduction upholstery"
17012,TRUE,747,Portrait of William Duguid,The American Wing,American,Prince Demah Barnes,Oil on canvas
17087,TRUE,706,Brooch,The American Wing,American,Marie Zimmermann,"Gold, black opal, shattuckite, green tourmalines, emeralds, sapphires, rubies, and enamel"
17137,TRUE,751,The Thomas Hunt and the America,The American Wing,American,James Bard,Oil on canvas
17147,TRUE,706,Vase,The American Wing,American,Tiffany & Co.,"Silver, silver-gilt, freshwater baroque pearls, amazonite, opals."
17148,TRUE,758,Preparing for Christmas (Plucking Turkeys),The American Wing,American,Francis William Edmonds,Oil on canvas
17154,TRUE,706,Vase,The American Wing,American,Herbert Taylor|Arthur J. Stone,silver and gold
17155,TRUE,706,Vase,The American Wing,American,Herbert Taylor|Arthur J. Stone,silver and gold
17159,TRUE,758,Young Husband: First Marketing,The American Wing,American,Lilly Martin Spencer,Oil on canvas
17162,TRUE,762,Abraham Lincoln: The Man (Standing Lincoln),The American Wing,American,Augustus Saint-Gaudens,Bronze
17164,TRUE,706,Necklace,The American Wing,American,Dreicer & Co.,"Diamonds, natural pearls, and platinum"
17171,TRUE,743,Box,The American Wing,American,Lucia Kleinhans Mathews|The Furniture Shop,Painted wood
17175,TRUE,726,Vase,The American Wing,American,Tucker Factory,"Porcelain, brass"
17200,TRUE,706,Pitcher,The American Wing,American,Gorham Manufacturing Company,Silver
30466,TRUE,210,清   龔賢   自題 山水十六開   冊|Landscapes with poems,Asian Art,China,Gong Xian,Fifteen leaves from an album (1980.516.2a–c and 1981.4.1a–o) of eighteen leaves
100335,TRUE,507,Bedroom from the Sagredo Palace,European Sculpture and Decorative Arts,"Italian, Venice",Carpoforo Mazzetti Tencalla|Abbondio Stazio,"Wood, stucco, marble, glass"
102384,TRUE,505,Stove,European Sculpture and Decorative Arts,"Swiss, Winterthur",Tobias Stimmer|Christoph Murer|David II Pfau|Hans Heinrich III Pfau,Faience (tin-glazed earthenware)
102880,TRUE,800,Adam,European Sculpture and Decorative Arts,"French, Paris",Auguste Rodin,Bronze
102916,TRUE,800,Honoré de Balzac,European Sculpture and Decorative Arts,French,Auguste Rodin,Terracotta
103733,TRUE,604,Madonna and Child with Angels,European Sculpture and Decorative Arts,"Italian, Florence",Antonio Rossellino,Marble with gilt details on halo and dress
103744,TRUE,552,The Intoxication of Wine,European Sculpture and Decorative Arts,"French, Paris",Clodion (Claude Michel),Terracotta
104209,TRUE,502,The Deluge,European Sculpture and Decorative Arts,"French, Lorraine, Metz",Valentin Bousch,"Glass, painted and stained"
105279,TRUE,503,Ewer (Brocca),European Sculpture and Decorative Arts,"Italian, Florence",Medici Porcelain Manufactory,Soft-paste porcelain decorated in underglaze blue
105449,TRUE,524,Drop-front secretary (Secrétaire en armoire),European Sculpture and Decorative Arts,"French, Paris",Jean Henri Riesener,"Oak veneered with ebony and 17th-century Japanese lacquer; interiors veneered with tulipwood, amaranth, holly, and ebonized holly; gilt-bronze mounts; marble top; velvet (not original)"
105962,TRUE,509,Display dish with Charles II (1630–1685) in a tree,European Sculpture and Decorative Arts,"British, Staffordshire",Thomas Toft,Slip-decorated earthenware
106174,TRUE,516,The Backgammon Players,European Sculpture and Decorative Arts,British,"Philip Webb|Sir Edward Burne-Jones|Morris, Marshall, Faulkner & Co.","Painted pine, oil paint on leather, brass, copper"
106189,TRUE,553,Coin cabinet,European Sculpture and Decorative Arts,"French, Paris",Martin-Guillaume Biennais|Charles Percier|François-Honoré-Georges Jacob-Desmalter|baron Dominique Vivant Denon,"Mahogany (probably Swietenia mahagoni), applied and inlaid silver"
107104,TRUE,815,The Little Fourteen-Year-Old Dancer,European Sculpture and Decorative Arts,"French, Paris",Edgar Degas|A. A. Hébrard,"Partially tinted bronze, cotton tarlatan, silk satin, and wood"
107553,TRUE,515,Dining room from Lansdowne House,European Sculpture and Decorative Arts,British,Joseph Rose|John Gilbert|John Devall & Co.|Robert Adam,"Wood, plaster, stone"
109065,TRUE,501,Studiolo from the Ducal Palace in Gubbio,European Sculpture and Decorative Arts,"Italian, Gubbio",Giuliano da Maiano|Francesco di Giorgio Martini|Francesco di Giorgio Martini|Benedetto da Maiano,"Walnut, beech, rosewood, oak and fruitwoods in walnut base"
109215,TRUE,553,Rolltop desk,European Sculpture and Decorative Arts,"German, Neuwied am Rhein",David Roentgen|Januarius Zick|Thomas Chippendale,"Oak, cherry, pine, mahogany, veneered with maple, burl woods, holly, hornbeam (all partially stained), tulipwood, mahogany, and other woods; mother-of-pearl; partially gilded and tooled leather; gilt bronze, iron, steel, brass, partially gold-lacquered brass"
109870,TRUE,552,Model for a Proposed Monument to Commemorate the Invention of the Balloon,European Sculpture and Decorative Arts,"French, Paris",Clodion (Claude Michel),Terracotta
110109,TRUE,535,The Holy Family with Saints Anne and Joachim,European Sculpture and Decorative Arts,"Spanish, Granada",Diego de Pesquera,"Wood, painted and gilt"
110138,TRUE,531,Seasons and Elements (Air) (set of four),European Sculpture and Decorative Arts,"French, Paris","Charles Le Brun|Jean Lemoyen le Lorrain|Convent of Saint Joseph-de-la-Providence, Paris|Marquise de Montespan","Canvas; silk, wool, and metal-thread embroidery in tent stitch (316 stitches per sq. inch, 49 stitches per sq. cm.)"
111074,TRUE,552,Sabine Houdon (1787–1836),European Sculpture and Decorative Arts,"French, Paris",Jean Antoine Houdon,White marble on gray marble socle
112021,TRUE,544,Platter,European Sculpture and Decorative Arts,"French, Paris",Bernard Palissy,Lead-glazed earthenware
112270,TRUE,614,"Madame de Wailly, née Adélaïde-Flore Belleville (1765–1838)",European Sculpture and Decorative Arts,"French, Paris",Augustin Pajou,Bust: marble; base: grey marble
112478,TRUE,503,The Farnese Table,European Sculpture and Decorative Arts,"Italian, Rome",Jacopo [Giacomo] Barozzi da Vignola|Guglielmo della Porta|Giovanni Mynardo (Jean Ménard),"Marble of different colors, semiprecious stones, Egyptian alabaster, residue of paint of different colors on the piers"
112502,TRUE,524,Armchair (Fauteuil à la reine) (one of a pair) (part of a set),European Sculpture and Decorative Arts,"French, Paris",Joseph-François-Xavier Baudoin|Georges Jacob,Carved and gilded walnut; embroidered silk satin
112553,TRUE,529,Potpourri vase (pot-pourri gondole),European Sculpture and Decorative Arts,"French, Sèvres",Jean-Claude Duplessis|Sèvres Manufactory|Charles Nicolas Dodin,"Soft-paste porcelain decorated in polychrome enamels, gold"
112981,TRUE,535,Saint John the Baptist,European Sculpture and Decorative Arts,"Spanish, Seville",Juan Martínez Montañés,Polychromed wood with gilding
113249,TRUE,512,Medal cabinet,European Sculpture and Decorative Arts,British,John Cobb|William Vile,Mahogany with carved and applied decoration
114573,TRUE,553,Plate,European Sculpture and Decorative Arts,"Russian, St. Petersburg","Imperial Porcelain Manufactory, St. Petersburg",Hard-paste porcelain
114764,TRUE,548,Perseus with the Head of Medusa,European Sculpture and Decorative Arts,"Italian, Rome",Antonio Canova|Count Jan and Countess Valeria Tarnowski,Marble
114810,TRUE,548,La Crainte des Traits de l'Amour,European Sculpture and Decorative Arts,"French, Paris",Jean-Louis Lemoyne,Marble
114818,TRUE,548,Ugolino and His Sons,European Sculpture and Decorative Arts,"French, Paris",Jean-Baptiste Carpeaux,Saint-Béat marble
114896,TRUE,512,"Teakettle, lamp, and table",European Sculpture and Decorative Arts,"British, London",Simon Pantin I,"Silver, wood"
115219,TRUE,529,Bottle cooler from the Louis XV service (seau à bouteille),European Sculpture and Decorative Arts,"French, Vincennes",Vincennes Manufactory|Jean-Claude Duplessis,"Soft-paste porcelain decorated in polychrome enamels, gold"
115313,TRUE,503,Wall fountain,European Sculpture and Decorative Arts,"Italian, Florence",Simone Mosca,Grey sandstone (pietra serena)
115464,TRUE,525,Writing table (bureau plat),European Sculpture and Decorative Arts,"French, Paris",Gilles Joubert,"Lacquered oak, gilt-bronze mounts, lined with modern leather"
115892,TRUE,533,Harlequina,European Sculpture and Decorative Arts,"German, Nymphenburg",Franz Anton Bustelli|Nymphenburg Porcelain Manufactory,Hard-paste porcelain
116175,TRUE,534,Bacchanal: A Faun Teased by Children,European Sculpture and Decorative Arts,"Italian, Rome",Gian Lorenzo Bernini|Pietro Bernini,Marble
116270,TRUE,529,Drop-front desk (secrétaire à abattant or secrétaire en cabinet),European Sculpture and Decorative Arts,"French, Paris and Sèvres",Martin Carlin|Edme François Bouillat père|Sèvres Manufactory,"Oak veneered with tulipwood, amaranth, holly, and sycamore; six Sèvres soft-paste porcelain plaques and two painted tin plaques; gilt-bronze mounts; marble shelves; moiré silk"
116346,TRUE,533,Rosewater ewer,European Sculpture and Decorative Arts,"German, Augsburg",Johann Erhard Heiglen,Silver gilt
116656,TRUE,536,Striding Pan,European Sculpture and Decorative Arts,"Italian, Padua","Andrea Briosco, called Riccio",Bronze
116668,TRUE,539,Mechanical table,European Sculpture and Decorative Arts,French,"Jean-François Oeben|Roger Vandercruse, called Lacroix","Oak veneered with mahogany, kingwood, and tulipwood, with marquetry of mahogany, rosewood, holly, and various other woods; gilt-bronze mounts; imitation Japanese lacquer; replaced silk"
116681,TRUE,539,Commode à vantaux,European Sculpture and Decorative Arts,"German, Neuwied am Rhein",David Roentgen|Januarius Zick|Elie Gervais|Pierre Rémond,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass"
116682,TRUE,542,Commode,European Sculpture and Decorative Arts,French,André Charles Boulle,"Walnut veneered with ebony, marquetry of engraved brass and tortoiseshell, gilt-bronze mounts, verd antique marble"
116724,TRUE,537,Hercules and Achelous,European Sculpture and Decorative Arts,probably Austrian,Master of the Martyrdom of St. Sebastian,Ivory
117073,TRUE,500,Sprite,European Sculpture and Decorative Arts,"Italian, Florence",Donatello,"Bronze, fire-gilt"
117337,TRUE,531,Small desk with folding top (bureau brisé),European Sculpture and Decorative Arts,"French, Paris",Alexandre-Jean Oppenordt|Jean Berain,"Oak, pine, walnut veneered with ebony, rosewood, and marquetry of tortoiseshell and engraved brass; gilt bronze and steel"
117419,TRUE,516,Spoon holder,European Sculpture and Decorative Arts,"British, Birmingham or London",Hukin & Heath|Christopher Dresser,"Silver-plated brass, ebony"
117460,TRUE,556,Cabinet,European Sculpture and Decorative Arts,"French, Paris",Charles-Guillaume Diehl|Emmanuel Frémiet|Jean Brandely,"Oak veneered with cedar, walnut, ebony and ivory; silvered-bronze mounts"
117797,TRUE,550,"Ferdinando de' Medici, Grand Prince of Tuscany",European Sculpture and Decorative Arts,"Italian, Florence",Giovanni Battista Foggini,"Marble, gray marble"
118171,TRUE,551,Cabinet on stand,European Sculpture and Decorative Arts,"Dutch, Amsterdam",Jan van Mekeren,"Oak veneered with rosewood, olivewood, ebony, holly, tulipwood, barberry and other partly green-stained marquetry woods"
118344,TRUE,199,Lion (one of a pair),European Sculpture and Decorative Arts,"German, Meissen",Meissen Manufactory|Johann Gottlieb Kirchner,Hard-paste porcelain
118512,TRUE,544,"Henri d'Albret (1503–55), King of Navarre",European Sculpture and Decorative Arts,"French, Limoges",Léonard Limosin,"Enamel, painted on copper and partly gilded"
118539,TRUE,533,Settee (one of a pair) (part of a set),European Sculpture and Decorative Arts,"German, Würzberg",Johann Michael Bauer,"Carved, painted and gilded linden wood; squab pillow in silk velvet (not original)"
118733,TRUE,514,Tapestry Room from Croome Court,European Sculpture and Decorative Arts,"British, Worcestershire with French, Paris (Gobelins) tapestry",Joseph Rose|François Boucher|Manufacture Nationale des Gobelins|Maurice Jacques|Louis Tessier|John Mayhew|William Ince|Jacques Neilson|Jacques Germain Soufflot|Joseph Wilton|John Wildsmith|Thomas Blockley|Sefferin Alken|Peter Langlois|John Hobcraft|Ince and Mayhew|Robert Adam,"Plaster, pine, mahogany, bronze-gilt, marble, lapis lazuli, steel; wool and silk (22-24 warps per inch, 9-10 per centimeter)"
120267,TRUE,553,Center table,European Sculpture and Decorative Arts,"Russian, Tula","Imperial Armory, Tula (south of Moscow), Russia","Steel, silver, gilt copper, gilt brass, basswood; replaced mirror glass"
120331,TRUE,548,Marsyas,European Sculpture and Decorative Arts,"German, executed Rome or Florence",Balthasar Permoser,Marble on a black marble socle inlaid with light marble panels
137625,TRUE,551,Toilet set in original leather case,European Sculpture and Decorative Arts,"German, Augsburg",Fourteen identified German (Augsburg) goldsmiths and other German artisans; Japanese (Imari) porcelain maker,"Gilt silver, hard-paste porcelain, cut glass, walnut, carved and partially gilt coniferous wood, blind-tooled and partially gilt leather, partially gilt steel and iron, textiles, moiré paper, hog's bristle"
137858,TRUE,556,Monumental vase,European Sculpture and Decorative Arts,"French, Saint-Amand-en-Puisaye",Georges Hoentschel|Emile Grittel,Glazed stoneware
138219,TRUE,536,Rothschild Lamp,European Sculpture and Decorative Arts,"Italian, Padua","Andrea Briosco, called Riccio","Bronze, on a later wood base"
138240,TRUE,616,A Hypocrite and a Slanderer,European Sculpture and Decorative Arts,"Austrian, probably Pressburg (Bratislava)",Franz Xaver Messerschmidt,Tin alloy
138242,TRUE,509,Hunters in a Landscape,European Sculpture and Decorative Arts,"British, probably London","Jost Amman|Anonymous Flemish weavers|Anonymous, 16th century","Wool, silk (14 warps per inch; 5-6 per cm)"
146378,TRUE,153,Marble statue of Eirene (the personification of peace),Greek and Roman Art,Roman,Kephisodotos,"Marble, Pentelic ?"
147107,TRUE,157,Terracotta pyxis (box),Greek and Roman Art,"Greek, Attic",Penthesilea Painter,Terracotta
147154,TRUE,153,Terracotta volute-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Painter of the Woolly Satyrs,Terracotta
148055,TRUE,153,Terracotta Panathenaic prize amphora,Greek and Roman Art,"Greek, Attic",Euphiletos Painter,Terracotta
148057,TRUE,150,Terracotta krater,Greek and Roman Art,"Greek, Attic",Hirschfeld Workshop,Terracotta
149662,TRUE,155,Terracotta neck-amphora (jar) with lid and knob (27.16),Greek and Roman Art,"Greek, Attic",Exekias,Terracotta
150601,TRUE,161,Terracotta calyx-krater (mixing bowl),Greek and Roman Art,"Greek, South Italian, Lucanian",Dolon Painter,Terracotta
150900,TRUE,153,Fragments of a marble statue of the Diadoumenos (youth tying a fillet around his head),Greek and Roman Art,Roman,Polykleitos,Marble
151479,TRUE,155,Terracotta aryballos (oil flask),Greek and Roman Art,"Greek, Attic",Nearchos,Terracotta
151990,TRUE,153,Terracotta bell-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Persephone Painter,Terracotta
152353,TRUE,157,Chalcedony scaraboid,Greek and Roman Art,Greek,Epimenes,Chalcedony
152357,TRUE,154,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Amasis Painter,Terracotta
152358,TRUE,155,Terracotta column-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, Attic",Lydos,Terracotta
152360,TRUE,159,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Eretria Painter,Terracotta
153615,TRUE,160,Terracotta column-krater (bowl for mixing wine and water),Greek and Roman Art,"Greek, South Italian, Apulian",Group of Boston 00.348,Terracotta
153802,TRUE,154,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Amasis Painter,Terracotta
153853,TRUE,157,Terracotta amphora (jar),Greek and Roman Art,"Greek, Attic",Berlin Painter,Terracotta
153880,TRUE,161,Terracotta situla (bucket),Greek and Roman Art,"Greek, South Italian, Apulian",Lycurgus Painter,Terracotta
154107,TRUE,155,Terracotta amphora (jar),Greek and Roman Art,"Greek, Attic",Andokides|Andokides Painter|Lysippides Painter,Terracotta
154222,TRUE,151,Marble female figure,Greek and Roman Art,Cycladic,Bastis Master,Marble
154858,TRUE,159,Terracotta lekythos (oil flask),Greek and Roman Art,"Greek, Attic",Achilles Painter,Terracotta
154880,TRUE,162,"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")",Greek and Roman Art,Roman,"Pacetti, Vincenzo",Marble
155405,TRUE,152,Terracotta dinos (mixing bowl),Greek and Roman Art,"Greek, Corinthian",Polyteleia Painter,Terracotta
335631,TRUE,684,Alto Recorder in F,Musical Instruments,German,Johann Benedikt Gahn,Ivory
335634,TRUE,684,Soprano Recorder in B,Musical Instruments,Dutch,Thomas Coenraet Boekhout,"Ebony, ivory"
335647,TRUE,681,Ennanga,Musical Instruments,Ganda people,Ganda,"Wood, vegetal fiber, snake skin, hide"
335777,TRUE,680,Natural Trumpet in D,Musical Instruments,German,Andreas Naeplaesnigg,"Brass, colored rock"
335881,TRUE,684,Grand Piano,Musical Instruments,Italian (Florence),Bartolomeo Cristofori,"Cypress, boxwood, paint, leather, fir"
335894,TRUE,681,O-daiko,Musical Instruments,Japanese,Kodenji Hayashi,"Wood, metal, cloisonné, hide, silk, padding"
336452,TRUE,681,Harpsichord,Musical Instruments,Italian (Roman),Michele Todini|Basilio Onofri|Jacob Reiff,"Wood, gilt, ebony, ivory, parchment"
336819,TRUE,684,Tsii' Edo' Ai (fiddle),Musical Instruments,Native American (Apache),Athabascan Family,"Agave flower stalk, wood, paint, horsehair"
